token	corpus size	all contexts size	frequency	co-frequency	specificity
asia	45240	4375	109	81	57.77
medio	45240	4375	59	43	30.37
el	45240	4375	1098	193	16.00
pirineos	45240	4375	20	17	14.33
norte	45240	4375	33	21	13.30
año	45240	4375	44	23	11.98
ãfrica	45240	4375	17	14	11.51
discurso	45240	4375	34	18	9.64
en	45240	4375	1250	181	8.02
les	45240	4375	26	14	7.76
próximo	45240	4375	9	8	7.21
occidente	45240	4375	45	17	6.45
del	45240	4375	589	94	6.36
se	45240	4375	343	62	6.22
contemporánea	45240	4375	14	9	6.05
los	45240	4375	644	98	5.69
como	45240	4375	237	46	5.67
afganistãn	45240	4375	5	5	5.07
pakistãn	45240	4375	5	5	5.07
estudios	45240	4375	67	19	5.02
es	45240	4375	211	40	4.81
perceval	45240	4375	12	7	4.43
temas	45240	4375	25	10	4.30
exótico	45240	4375	7	5	3.84
que	45240	4375	658	90	3.74
un	45240	4375	424	62	3.55
académicos	45240	4375	8	5	3.46
hacer	45240	4375	8	5	3.46
ha	45240	4375	48	13	3.45
término	45240	4375	16	7	3.44
universitaria	45240	4375	12	6	3.39
francés	45240	4375	21	8	3.38
francesa	45240	4375	13	6	3.16
tanto	45240	4375	23	8	3.09
arte	45240	4375	115	22	3.08
abstractas	45240	4375	3	3	3.04
turismo	45240	4375	6	4	2.97
no	45240	4375	175	29	2.84
edward	45240	4375	25	8	2.83
uruguay	45240	4375	25	8	2.83
