token	corpus size	all contexts size	frequency	co-frequency	specificity
asia	5008	3764	98	97	10.77
medio	5008	3764	55	54	5.60
estudios	5008	3764	28	28	3.48
arte	5008	3764	26	26	3.23
año	5008	3764	26	26	3.23
norte	5008	3764	25	25	3.11
occidente	5008	3764	24	24	2.98
ha	5008	3764	22	22	2.73
discurso	5008	3764	19	19	2.36
más	5008	3764	26	25	2.30
término	5008	3764	18	18	2.24
parte	5008	3764	17	17	2.11
pirineos	5008	3764	17	17	2.11
no	5008	3764	36	33	2.06
fue	5008	3764	16	16	1.99
mundo	5008	3764	22	21	1.87
siglo	5008	3764	14	14	1.74
pintura	5008	3764	14	14	1.74
les	5008	3764	14	14	1.74
ãƒfrica	5008	3764	14	14	1.74
su	5008	3764	36	32	1.62
temas	5008	3764	13	13	1.61
es	5008	3764	69	58	1.59
próximo	5008	3764	12	12	1.49
lo	5008	3764	33	29	1.41
qué	5008	3764	10	10	1.24
the	5008	3764	10	10	1.24
españa	5008	3764	10	10	1.24
todo	5008	3764	15	14	1.17
cultura	5008	3764	9	9	1.12
estudio	5008	3764	9	9	1.12
exótico	5008	3764	9	9	1.12
contemporánea	5008	3764	9	9	1.12
desde	5008	3764	14	13	1.07
refiere	5008	3764	8	8	0.99
está	5008	3764	8	8	0.99
representación	5008	3764	8	8	0.99
culturas	5008	3764	8	8	0.99
sociedades	5008	3764	8	8	0.99
áfrica	5008	3764	8	8	0.99
occidental	5008	3764	8	8	0.99
tema	5008	3764	8	8	0.99
describir	5008	3764	8	8	0.99
entre	5008	3764	13	12	0.98
tanto	5008	3764	13	12	0.98
puede	5008	3764	7	7	0.87
hacer	5008	3764	7	7	0.87
son	5008	3764	7	7	0.87
dos	5008	3764	7	7	0.87
culturales	5008	3764	7	7	0.87
perceval	5008	3764	7	7	0.87
historia	5008	3764	16	14	0.87
sus	5008	3764	19	16	0.81
este	5008	3764	26	21	0.81
académicos	5008	3764	6	6	0.74
movimiento	5008	3764	6	6	0.74
pueblos	5008	3764	6	6	0.74
aunque	5008	3764	6	6	0.74
and	5008	3764	6	6	0.74
donde	5008	3764	6	6	0.74
