token	corpus size	all contexts size	frequency	co-frequency	specificity
asia	40694	3912	147	97	61.51
medio	40694	3912	75	54	37.66
pirineos	40694	3912	20	17	14.38
norte	40694	3912	52	25	11.96
ãfrica	40694	3912	17	14	11.55
occidente	40694	3912	58	24	9.81
discurso	40694	3912	38	19	9.62
rmino	40694	3912	24	15	9.54
estudios	40694	3912	85	28	8.65
año	40694	3912	39	18	8.45
es	40694	3912	276	58	8.22
les	40694	3912	27	14	7.52
tã	40694	3912	54	20	7.34
ha	40694	3912	66	22	7.06
ximo	40694	3912	10	8	6.57
contemporánea	40694	3912	13	9	6.48
refiere	40694	3912	11	8	6.05
geogrã	40694	3912	11	8	6.05
describir	40694	3912	11	8	6.05
temas	40694	3912	32	13	5.52
prã	40694	3912	20	10	5.35
oldid	40694	3912	5	5	5.09
afganistãn	40694	3912	5	5	5.09
pakistãn	40694	3912	5	5	5.09
acadã	40694	3912	30	12	5.06
pintura	40694	3912	41	14	4.88
edward	40694	3912	48	15	4.67
pintores	40694	3912	15	8	4.64
hacer	40694	3912	12	7	4.44
perceval	40694	3912	12	7	4.44
tanto	40694	3912	34	12	4.44
mico	40694	3912	25	10	4.32
parte	40694	3912	64	17	4.22
francés	40694	3912	17	8	4.15
said	40694	3912	133	27	4.05
mundo	40694	3912	92	21	4.03
uruguay	40694	3912	28	10	3.85
todo	40694	3912	63	16	3.78
sociedades	40694	3912	19	8	3.74
lo	40694	3912	163	30	3.66
arte	40694	3912	137	26	3.48
segãon	40694	3912	8	5	3.47
belleza	40694	3912	8	5	3.47
misterioso	40694	3912	5	4	3.41
representa	40694	3912	5	4	3.41
próximo	40694	3912	5	4	3.41
universitaria	40694	3912	12	6	3.40
culturas	40694	3912	22	8	3.25
provincia	40694	3912	3	3	3.05
eruditos	40694	3912	3	3	3.05
abstractas	40694	3912	3	3	3.05
anse	40694	3912	3	3	3.05
especializaron	40694	3912	3	3	3.05
influyente	40694	3912	3	3	3.05
ficamente	40694	3912	3	3	3.05
exótico	40694	3912	6	4	2.98
commonscat	40694	3912	6	4	2.98
turismo	40694	3912	6	4	2.98
representaciã	40694	3912	14	6	2.98
tema	40694	3912	24	8	2.97
title	40694	3912	10	5	2.90
fico	40694	3912	10	5	2.90
no	40694	3912	210	33	2.80
torno	40694	3912	7	4	2.66
imaginario	40694	3912	7	4	2.66
respecto	40694	3912	7	4	2.66
aã	40694	3912	39	10	2.64
fue	40694	3912	82	16	2.55
tico	40694	3912	34	9	2.53
espaã	40694	3912	47	11	2.53
concepto	40694	3912	12	5	2.49
exã	40694	3912	12	5	2.49
wikisource	40694	3912	4	3	2.49
teã	40694	3912	4	3	2.49
suelen	40694	3912	4	3	2.49
porteña	40694	3912	4	3	2.49
fotografã	40694	3912	4	3	2.49
designar	40694	3912	4	3	2.49
significa	40694	3912	4	3	2.49
entendido	40694	3912	4	3	2.49
lejano	40694	3912	8	4	2.40
moderna	40694	3912	8	4	2.40
afganistã	40694	3912	8	4	2.40
francesa	40694	3912	18	6	2.36
época	40694	3912	18	6	2.36
mica	40694	3912	30	8	2.34
modo	40694	3912	13	5	2.33
marã	40694	3912	13	5	2.33
hugo	40694	3912	13	5	2.33
siglo	40694	3912	65	13	2.29
qué	40694	3912	37	9	2.29
estã	40694	3912	31	8	2.25
tambiã	40694	3912	38	9	2.22
este	40694	3912	130	21	2.20
claramente	40694	3912	9	4	2.19
civilizaciones	40694	3912	9	4	2.19
área	40694	3912	9	4	2.19
masas	40694	3912	5	3	2.14
sería	40694	3912	5	3	2.14
forma	40694	3912	26	7	2.14
muy	40694	3912	20	6	2.13
estudio	40694	3912	40	9	2.08
tan	40694	3912	15	5	2.05
exotismo	40694	3912	15	5	2.05
puebla	40694	3912	2	2	2.03
omã	40694	3912	2	2	2.03
generar	40694	3912	2	2	2.03
resulta	40694	3912	2	2	2.03
decimonã	40694	3912	2	2	2.03
rigor	40694	3912	2	2	2.03
exactamente	40694	3912	2	2	2.03
asume	40694	3912	2	2	2.03
acaba	40694	3912	2	2	2.03
orientalisme	40694	3912	2	2	2.03
transmitidos	40694	3912	2	2	2.03
encanto	40694	3912	2	2	2.03
consumos	40694	3912	2	2	2.03
civilizar	40694	3912	2	2	2.03
polisã	40694	3912	2	2	2.03
entrã	40694	3912	2	2	2.03
cielo	40694	3912	2	2	2.03
edades	40694	3912	2	2	2.03
situados	40694	3912	2	2	2.03
inmediatamente	40694	3912	2	2	2.03
expandido	40694	3912	2	2	2.03
ampliamente	40694	3912	2	2	2.03
impidiã	40694	3912	2	2	2.03
peintres	40694	3912	2	2	2.03
fundara	40694	3912	2	2	2.03
diccionario	40694	3912	2	2	2.03
redefinir	40694	3912	2	2	2.03
establecido	40694	3912	2	2	2.03
habla	40694	3912	2	2	2.03
governor	40694	3912	2	2	2.03
orientations	40694	3912	2	2	2.03
pata	40694	3912	2	2	2.03
piensa	40694	3912	2	2	2.03
necesitan	40694	3912	2	2	2.03
represente	40694	3912	2	2	2.03
gobierne	40694	3912	2	2	2.03
romantizado	40694	3912	2	2	2.03
tulo	40694	3912	2	2	2.03
bil	40694	3912	2	2	2.03
wikivoyage	40694	3912	2	2	2.03
guã	40694	3912	2	2	2.03
turã	40694	3912	2	2	2.03
aseverar	40694	3912	2	2	2.03
celebrã	40694	3912	2	2	2.03
étnica	40694	3912	2	2	2.03
migratorios	40694	3912	2	2	2.03
sinteticen	40694	3912	2	2	2.03
trilogia	40694	3912	2	2	2.03
jackson	40694	3912	2	2	2.03
impensable	40694	3912	2	2	2.03
estereotipo	40694	3912	10	4	2.01
josã	40694	3912	10	4	2.01
embargo	40694	3912	22	6	1.93
sido	40694	3912	22	6	1.93
representaciones	40694	3912	22	6	1.93
pues	40694	3912	16	5	1.93
idea	40694	3912	16	5	1.93
tica	40694	3912	58	11	1.90
antiguo	40694	3912	6	3	1.88
sean	40694	3912	6	3	1.88
académicos	40694	3912	6	3	1.88
tradicional	40694	3912	6	3	1.88
diferencia	40694	3912	6	3	1.88
colonialismo	40694	3912	6	3	1.88
objeto	40694	3912	11	4	1.86
ndose	40694	3912	17	5	1.82
diferentes	40694	3912	24	6	1.76
especialmente	40694	3912	24	6	1.76
país	40694	3912	24	6	1.76
mã	40694	3912	94	15	1.76
xviii	40694	3912	12	4	1.73
referencia	40694	3912	12	4	1.73
vã	40694	3912	12	4	1.73
multimedia	40694	3912	12	4	1.73
papel	40694	3912	18	5	1.72
tal	40694	3912	18	5	1.72
referente	40694	3912	7	3	1.68
vintage	40694	3912	7	3	1.68
stica	40694	3912	7	3	1.68
frica	40694	3912	19	5	1.64
desde	40694	3912	81	13	1.63
movimiento	40694	3912	26	6	1.62
grupo	40694	3912	13	4	1.61
hombres	40694	3912	13	4	1.61
localidad	40694	3912	3	2	1.60
uruguayo	40694	3912	3	2	1.60
obvio	40694	3912	3	2	1.60
reales	40694	3912	3	2	1.60
vertiente	40694	3912	3	2	1.60
existencia	40694	3912	3	2	1.60
príncipe	40694	3912	3	2	1.60
evoluciã	40694	3912	3	2	1.60
ligado	40694	3912	3	2	1.60
incapaces	40694	3912	3	2	1.60
creado	40694	3912	3	2	1.60
nãomero	40694	3912	3	2	1.60
utilizada	40694	3912	3	2	1.60
desdén	40694	3912	3	2	1.60
descubrimiento	40694	3912	3	2	1.60
paraíso	40694	3912	3	2	1.60
soñado	40694	3912	3	2	1.60
cercano	40694	3912	3	2	1.60
aproximaciã	40694	3912	3	2	1.60
debido	40694	3912	3	2	1.60
oles	40694	3912	3	2	1.60
sale	40694	3912	3	2	1.60
despertar	40694	3912	3	2	1.60
basã	40694	3912	3	2	1.60
descritos	40694	3912	3	2	1.60
estudioso	40694	3912	3	2	1.60
querã	40694	3912	3	2	1.60
extranjeros	40694	3912	3	2	1.60
ajenos	40694	3912	3	2	1.60
