token	corpus size	all contexts size	frequency	co-frequency	specificity
Moyen	100097	39242	215	210	77.06
’	100097	39242	3433	1827	63.78
L	100097	39242	500	370	55.79
l	100097	39242	2841	1491	47.56
modifier	100097	39242	150	120	23.81
code	100097	39242	72	65	18.79
Proche	100097	39242	40	40	16.27
Occident	100097	39242	136	99	14.82
Les	100097	39242	322	196	14.72
BUTTON	100097	39242	176	110	9.65
Article	100097	39242	27	26	9.36
Extrême	100097	39242	26	25	8.97
fr	100097	39242	36	30	7.21
vision	100097	39242	42	33	6.72
vers	100097	39242	80	54	6.70
Hugo	100097	39242	46	35	6.49
siècle	100097	39242	234	128	6.26
1829	100097	39242	19	18	6.26
ad	100097	39242	19	18	6.26
détaillé	100097	39242	15	15	6.10
créé	100097	39242	35	28	6.07
Rechercher	100097	39242	18	17	5.88
langues	100097	39242	46	34	5.83
peinture	100097	39242	74	49	5.79
Genre	100097	39242	14	14	5.69
Basculer	100097	39242	14	14	5.69
Penser	100097	39242	14	14	5.69
peuples	100097	39242	33	26	5.46
architectural	100097	39242	16	15	5.11
Voyage	100097	39242	29	23	4.97
Éditions	100097	39242	24	20	4.97
homonymie	100097	39242	12	12	4.88
Victor	100097	39242	31	24	4.85
direction	100097	39242	18	16	4.75
associés	100097	39242	11	11	4.47
Télécharger	100097	39242	11	11	4.47
Ad	100097	39242	11	11	4.47
2010	100097	39242	17	15	4.40
Accueil	100097	39242	14	13	4.36
artistique	100097	39242	46	31	4.14
représentations	100097	39242	46	31	4.14
https	100097	39242	46	31	4.14
stéréotypée	100097	39242	10	10	4.07
UGA	100097	39242	10	10	4.07
Peintres	100097	39242	10	10	4.07
×	100097	39242	16	14	4.05
tableaux	100097	39242	21	17	4.00
org	100097	39242	39	27	3.98
mode	100097	39242	30	22	3.91
sur	100097	39242	536	248	3.87
page	100097	39242	25	19	3.78
impact	100097	39242	15	13	3.70
courant	100097	39242	20	16	3.69
La	100097	39242	255	126	3.67
pictural	100097	39242	9	9	3.66
›	100097	39242	9	9	3.66
index	100097	39242	9	9	3.66
EPUB	100097	39242	9	9	3.66
MOBI	100097	39242	9	9	3.66
peintres	100097	39242	52	33	3.64
1	100097	39242	117	64	3.62
Le	100097	39242	258	127	3.62
und	100097	39242	24	18	3.49
site	100097	39242	14	12	3.35
ACR	100097	39242	8	8	3.25
Hazan	100097	39242	8	8	3.25
mathématique	100097	39242	8	8	3.25
Bourgoin	100097	39242	8	8	3.25
Liens	100097	39242	8	8	3.25
