token	corpus size	all contexts size	frequency	co-frequency	specificity
’	557472	37420	7372	1747	478.01
Moyen	557472	37420	238	206	203.17
Orient	557472	37420	966	336	144.15
l	557472	37420	10694	1427	134.19
L	557472	37420	1083	342	132.27
orientalisme	557472	37420	355	156	84.76
modifier	557472	37420	230	121	77.48
Occident	557472	37420	150	97	74.30
siècle	557472	37420	407	122	45.20
Proche	557472	37420	38	38	44.59
Orientalisme	557472	37420	171	76	42.25
code	557472	37420	138	65	38.20
Extrême	557472	37420	27	25	26.85
peinture	557472	37420	115	49	26.54
artistes	557472	37420	156	54	23.91
Hugo	557472	37420	69	35	22.34
Edward	557472	37420	118	45	22.06
vision	557472	37420	62	33	21.98
Les	557472	37420	1176	173	21.44
Said	557472	37420	114	43	20.90
artistique	557472	37420	59	31	20.47
ad	557472	37420	19	18	19.87
peintres	557472	37420	71	33	19.59
créé	557472	37420	50	28	19.57
1829	557472	37420	22	18	17.37
Article	557472	37420	56	27	16.68
Basculer	557472	37420	14	14	16.42
Delacroix	557472	37420	73	30	16.05
BUTTON	557472	37420	465	83	15.49
représentations	557472	37420	71	29	15.46
en	557472	37420	5703	539	15.17
langues	557472	37420	100	34	15.12
architectural	557472	37420	18	15	14.78
occidentaux	557472	37420	34	20	14.74
Victor	557472	37420	51	24	14.61
Saïd	557472	37420	71	28	14.48
XIX	557472	37420	71	28	14.48
e	557472	37420	342	66	14.17
occidentale	557472	37420	58	25	14.08
fascination	557472	37420	42	21	13.54
↑	557472	37420	107	33	13.32
culture	557472	37420	102	32	13.17
Paris	557472	37420	333	63	13.17
orientalistes	557472	37420	128	36	13.09
également	557472	37420	123	35	12.92
associés	557472	37420	11	11	12.90
études	557472	37420	55	23	12.68
fr	557472	37420	88	29	12.62
impact	557472	37420	16	13	12.59
https	557472	37420	72	26	12.45
W	557472	37420	72	26	12.45
XIXe	557472	37420	42	20	12.42
savoirs	557472	37420	30	17	12.26
PDF	557472	37420	30	17	12.26
voyage	557472	37420	201	45	12.25
imaginaire	557472	37420	39	19	12.06
Nerval	557472	37420	39	19	12.06
XIXème	557472	37420	20	14	12.02
Ad	557472	37420	12	11	11.86
2	557472	37420	223	47	11.77
stéréotypée	557472	37420	10	10	11.73
matières	557472	37420	28	16	11.65
orientaux	557472	37420	61	23	11.56
Orientales	557472	37420	56	22	11.51
oriental	557472	37420	79	26	11.39
esthétique	557472	37420	25	15	11.39
stéréotypes	557472	37420	33	17	11.36
imaginaires	557472	37420	16	12	10.94
cultures	557472	37420	60	22	10.81
×	557472	37420	23	14	10.78
index	557472	37420	11	10	10.72
php	557472	37420	11	10	10.72
littérature	557472	37420	117	31	10.67
mode	557472	37420	61	22	10.64
détaillé	557472	37420	20	13	10.57
littéraire	557472	37420	79	25	10.56
pictural	557472	37420	9	9	10.56
EPUB	557472	37420	9	9	10.56
MOBI	557472	37420	9	9	10.56
voyages	557472	37420	46	19	10.49
coloniale	557472	37420	68	23	10.44
1978	557472	37420	28	15	10.42
politique	557472	37420	121	31	10.26
thèmes	557472	37420	25	14	10.11
peuples	557472	37420	89	26	10.09
Occidentaux	557472	37420	18	12	9.99
Peintres	557472	37420	12	10	9.97
Afrique	557472	37420	49	19	9.92
orientales	557472	37420	60	21	9.91
versus	557472	37420	15	11	9.89
–	557472	37420	98	27	9.81
orient	557472	37420	50	19	9.74
ACR	557472	37420	8	8	9.39
Hazan	557472	37420	8	8	9.39
wikipedia	557472	37420	8	8	9.39
mathématique	557472	37420	8	8	9.39
préjugés	557472	37420	42	17	9.29
Nord	557472	37420	71	22	9.19
Pierre	557472	37420	79	23	8.99
Jean	557472	37420	183	37	8.94
direction	557472	37420	39	16	8.89
3	557472	37420	192	38	8.89
contribué	557472	37420	21	12	8.88
recueil	557472	37420	14	10	8.85
érudits	557472	37420	14	10	8.85
homonymie	557472	37420	14	10	8.85
Ingres	557472	37420	35	15	8.69
Ottoman	557472	37420	18	11	8.61
utilisé	557472	37420	18	11	8.61
Europe	557472	37420	258	45	8.55
Voyage	557472	37420	83	23	8.53
org	557472	37420	64	20	8.50
académiques	557472	37420	9	8	8.46
clichés	557472	37420	19	11	8.27
européens	557472	37420	60	19	8.22
orientalisé	557472	37420	7	7	8.21
title	557472	37420	7	7	8.21
notamment	557472	37420	93	24	8.20
entre	557472	37420	518	71	8.19
orientaliste	557472	37420	108	26	8.14
Accueil	557472	37420	33	14	8.08
orientale	557472	37420	102	25	8.02
dossier	557472	37420	16	10	8.01
influence	557472	37420	68	20	8.00
domination	557472	37420	56	18	7.94
mouvement	557472	37420	96	24	7.91
courant	557472	37420	45	16	7.84
Haut	557472	37420	13	9	7.82
The	557472	37420	112	26	7.79
explorateurs	557472	37420	10	8	7.79
américain	557472	37420	25	12	7.75
publié	557472	37420	30	13	7.69
définition	557472	37420	21	11	7.66
2002	557472	37420	17	10	7.65
ont	557472	37420	878	102	7.48
Empire	557472	37420	94	23	7.43
tableaux	557472	37420	54	17	7.39
orientaliser	557472	37420	8	7	7.34
Ajouter	557472	37420	8	7	7.34
expansion	557472	37420	27	12	7.29
relations	557472	37420	55	17	7.26
œuvres	557472	37420	119	26	7.23
intérêt	557472	37420	75	20	7.22
genre	557472	37420	62	18	7.18
regard	557472	37420	97	23	7.17
images	557472	37420	56	17	7.13
sur	557472	37420	2649	246	7.08
poèmes	557472	37420	15	9	7.04
Lynne	557472	37420	6	6	7.04
Thornton	557472	37420	6	6	7.04
Définition	557472	37420	6	6	7.04
eurocentrique	557472	37420	6	6	7.04
Danseuse	557472	37420	6	6	7.04
oldid	557472	37420	6	6	7.04
DEL	557472	37420	6	6	7.04
Minard	557472	37420	6	6	7.04
Asie	557472	37420	114	25	7.02
2010	557472	37420	39	14	7.00
actualité	557472	37420	34	13	6.92
,‎	557472	37420	24	11	6.90
ISBN	557472	37420	29	12	6.88
image	557472	37420	101	23	6.83
scènes	557472	37420	79	20	6.82
occident	557472	37420	12	8	6.81
xix	557472	37420	12	8	6.81
Bourgoin	557472	37420	12	8	6.81
externes	557472	37420	12	8	6.81
populum	557472	37420	12	8	6.81
La	557472	37420	1153	123	6.80
