5:الإستشراق والمستشرقون
10:                            الإستشراق والمستشرقون
23:     * ٧ وسائل المستشرقين لتحقيق أهدافهم
24:     * ٨ موازين البحث عند المستشرقين
43:   يسهر على تنفيذها وتطبيقها أبناؤنا الذين رباهم المستشرقون، وأرضعوهم من
63:   لمحاولات المستشرقين وفضحها وكشفها للناس على حقيقتها. هذه الرسالة –
84:   الاستشراق والمستشرقون بحث لم يعن أحد من الكاتبين بأمرهما عناية علمية
86:   المستشرقين وطوائفهم وأعمالهم وما أصابوا وما أخطأوا فيه من أبحاث
88:   كتاب "المستشرقون" للأستاذ نجيب العقيقي، أو أن يكون كشفاً موجزاً عن
93:   المعجبين بهم الدكتور طه حسين من أوائل تلاميذ المستشرقين في تاريخنا
97:          انتهى إليه الفرنج (المستشرقون) من النتائج العلمية المختلفة حين
106:   لآراء غلاة المستشرقين المتعصبين ضد العرب والإسلام أمثال "مرجليوث" الذي
110:   بينت ما في فصل "الحديث" من كتاب فجر الإسلام من سرقة لآراء المستشرقين
116:   المستشرقين. والدكتور علي حسن عبد القادر يشغل الآن منصب – مدير المركز
149:   هذا، لأن المستشرقين – وخاصة جولد تسيهر – قوم علماء منصفون لا يحرفون
164:   الله - : إن بحثك هذا فتح جديد في بحوث المستشرقين، وأرجو أن تعطيني نسخة
166:   المستشرقين في ألمانيا، وإني أعتقد أنها ستحدث دويّاً في أوساط
167:   المستشرقين، فشكرته على ذلك واعتبرته تشجيع أستاذ لتلميذه. وبعد أيام
176:   في المستشرقين وخاصة جولد تسيهر، وبدّل رأيه في أمانته وإخلاصه للحق وعدم
179:   ويقابل هذا الاتجاه المفرط في الثقة ببحوث المستشرقين اتجاه يحمل على
180:   المستشرقين واتجاهاتهم المغرضة المفرطة في التعصب، ويمثله قول أحمد فارس
183:          "إن هؤلاء الأساتيذ (المستشرقين) لم يأخذوا العلم عن شيوخه، وإنما
191:          التي سجلها هؤلاء المستشرقون فيما قاموا به من أعمال، وما تطرقوا
