token	corpus size	all contexts size	frequency	co-frequency	specificity
الاستشراق	214049	9514	1029	170	48.37
سعيد	214049	9514	118	55	41.40
إدوارد	214049	9514	69	39	33.86
مصطلح	214049	9514	53	33	30.73
في	214049	9514	3714	322	29.04
والخلفية	214049	9514	18	18	24.35
حركة	214049	9514	39	24	22.36
والدراسات	214049	9514	50	26	21.56
الفكرية	214049	9514	56	27	21.23
أهداف	214049	9514	52	25	19.67
الجديد	214049	9514	49	23	17.86
للصراع	214049	9514	15	14	17.78
من	214049	9514	2317	198	17.59
دوافع	214049	9514	14	13	16.45
نشأة	214049	9514	24	16	15.93
تاريخ	214049	9514	157	35	14.69
والمستشرقون	214049	9514	30	16	13.75
ظهور	214049	9514	31	16	13.46
إن	214049	9514	146	32	13.29
هو	214049	9514	267	43	12.58
الفصل	214049	9514	25	14	12.50
بين	214049	9514	272	43	12.30
أن	214049	9514	892	90	12.25
المنورة	214049	9514	9	9	12.17
دعاته	214049	9514	9	9	12.17
ومعارضيه	214049	9514	9	9	12.17
مفهوم	214049	9514	36	16	12.17
حول	214049	9514	141	30	12.16
على	214049	9514	1214	109	11.42
وتطوره	214049	9514	10	9	11.19
الحضاري	214049	9514	30	14	11.09
بدأ	214049	9514	60	18	10.21
والمستشرقين	214049	9514	12	9	9.89
ووسائله	214049	9514	9	8	9.88
الهولندي	214049	9514	20	11	9.83
وأهدافه	214049	9514	7	7	9.47
زقزوق	214049	9514	17	10	9.37
القول	214049	9514	45	15	9.34
فلسفة	214049	9514	10	8	9.20
بداية	214049	9514	69	18	9.11
وسائل	214049	9514	28	12	9.06
إلى	214049	9514	951	85	9.06
مستقبل	214049	9514	14	9	8.97
وانشر	214049	9514	8	7	8.58
محمد	214049	9514	218	32	8.58
الأول	214049	9514	75	18	8.49
مقالة	214049	9514	45	14	8.32
مدخل	214049	9514	26	11	8.28
كتاب	214049	9514	201	30	8.27
مع	214049	9514	203	30	8.17
لأن	214049	9514	47	14	8.05
تعريف	214049	9514	47	14	8.05
ما	214049	9514	482	51	8.04
مراحل	214049	9514	9	7	7.95
المبحث	214049	9514	9	7	7.95
لدراسات	214049	9514	9	7	7.95
الاستعماري	214049	9514	34	12	7.92
عن	214049	9514	698	65	7.82
مجرد	214049	9514	14	8	7.46
استمرار	214049	9514	10	7	7.45
المدينة	214049	9514	19	9	7.40
الشرق	214049	9514	357	40	7.15
موضع	214049	9514	15	8	7.15
الفرنسي	214049	9514	40	12	7.03
الكراهية	214049	9514	11	7	7.03
صناعة	214049	9514	11	7	7.03
القرآنية	214049	9514	58	14	6.80
ظهر	214049	9514	52	13	6.55
موقف	214049	9514	18	8	6.37
والاستشراق	214049	9514	24	9	6.35
أهدافه	214049	9514	13	7	6.35
بأن	214049	9514	83	16	6.25
الغرب	214049	9514	212	27	6.14
ترجمة	214049	9514	76	15	6.04
ونشأته	214049	9514	6	5	6.00
وبحوث	214049	9514	6	5	6.00
التي	214049	9514	521	48	5.91
جذور	214049	9514	10	6	5.87
مرجع	214049	9514	15	7	5.82
عشر	214049	9514	170	23	5.80
تاريخي	214049	9514	21	8	5.77
هذا	214049	9514	454	43	5.69
وتاريخه	214049	9514	16	7	5.59
مدارس	214049	9514	16	7	5.59
مشروع	214049	9514	11	6	5.55
الظهور	214049	9514	7	5	5.48
مراحله	214049	9514	7	5	5.48
فوزي	214049	9514	7	5	5.48
باركود	214049	9514	4	4	5.41
الكتاب	214049	9514	56	12	5.35
أنه	214049	9514	108	17	5.35
رؤية	214049	9514	31	9	5.30
لذلك	214049	9514	24	8	5.27
د	214049	9514	309	32	5.21
سابق	214049	9514	18	7	5.18
موضوع	214049	9514	25	8	5.12
يمكن	214049	9514	113	17	5.08
نشأ	214049	9514	8	5	5.07
القرن	214049	9514	215	25	5.07
هل	214049	9514	33	9	5.06
بالنسبة	214049	9514	19	7	5.00
معلومات	214049	9514	26	8	4.98
للاستشراق	214049	9514	93	15	4.93
منذ	214049	9514	83	14	4.87
عملية	214049	9514	20	7	4.83
بشكل	214049	9514	44	10	4.80
بولعوالي	214049	9514	14	6	4.79
التوسع	214049	9514	9	5	4.74
مفهومه	214049	9514	9	5	4.74
صاحبه	214049	9514	5	4	4.73
تشجيع	214049	9514	5	4	4.73
فاروق	214049	9514	5	4	4.73
والتنصير	214049	9514	5	4	4.73
الإسقاط	214049	9514	5	4	4.73
موقفنا	214049	9514	5	4	4.73
علامة	214049	9514	5	4	4.73
ازدهاره	214049	9514	5	4	4.73
يقف	214049	9514	5	4	4.73
نشاطها	214049	9514	5	4	4.73
مؤسسة	214049	9514	21	7	4.68
السلطة	214049	9514	21	7	4.68
نهاية	214049	9514	37	9	4.63
الكلاسيكي	214049	9514	15	6	4.59
قد	214049	9514	162	20	4.58
بارت	214049	9514	22	7	4.53
الثالث	214049	9514	22	7	4.53
والتاريخ	214049	9514	30	8	4.49
كتابه	214049	9514	68	12	4.47
فإن	214049	9514	115	16	4.42
فكري	214049	9514	16	6	4.41
علاقة	214049	9514	23	7	4.39
الغربية	214049	9514	181	21	4.38
الألماني	214049	9514	31	8	4.38
كلمة	214049	9514	71	12	4.29
يمث	214049	9514	6	4	4.27
الإنشاء	214049	9514	6	4	4.27
ثانيا	214049	9514	6	4	4.27
الزيادي	214049	9514	6	4	4.27
نقلا	214049	9514	6	4	4.27
الاختلاف	214049	9514	6	4	4.27
وموقفهم	214049	9514	6	4	4.27
نسخ	214049	9514	6	4	4.27
الرابط	214049	9514	6	4	4.27
عصر	214049	9514	32	8	4.27
شارك	214049	9514	32	8	4.27
والاستعمار	214049	9514	17	6	4.24
مفصلة	214049	9514	11	5	4.21
الغربي	214049	9514	133	17	4.19
اللاهوت	214049	9514	18	6	4.08
الأحجار	214049	9514	3	3	4.06
تلت	214049	9514	3	3	4.06
والعلماني	214049	9514	3	3	4.06
التصويت	214049	9514	3	3	4.06
الأوسع	214049	9514	3	3	4.06
تنقسم	214049	9514	3	3	4.06
لإدوارد	214049	9514	3	3	4.06
ناجح	214049	9514	3	3	4.06
والخاسر	214049	9514	3	3	4.06
سمايلوفتش	214049	9514	3	3	4.06
لبدء	214049	9514	3	3	4.06
لبداية	214049	9514	3	3	4.06
ارتبط	214049	9514	3	3	4.06
الكيانية	214049	9514	3	3	4.06
الإسپاني	214049	9514	3	3	4.06
علم	214049	9514	64	11	4.05
التقليدي	214049	9514	26	7	4.02
تيار	214049	9514	12	5	4.00
فكر	214049	9514	19	6	3.94
بدافع	214049	9514	7	4	3.92
ويعتبر	214049	9514	7	4	3.92
الثاني	214049	9514	78	12	3.89
السيرة	214049	9514	36	8	3.89
أصبح	214049	9514	36	8	3.89
ا	214049	9514	738	54	3.88
الاستعمار	214049	9514	67	11	3.87
مركز	214049	9514	46	9	3.86
الاستغراب	214049	9514	13	5	3.81
ظاهرة	214049	9514	28	7	3.81
كان	214049	9514	369	32	3.80
منهجية	214049	9514	20	6	3.80
بالشرق	214049	9514	38	8	3.72
علي	214049	9514	49	9	3.65
إسماعيل	214049	9514	8	4	3.64
بمعنى	214049	9514	8	4	3.64
ــ	214049	9514	8	4	3.64
الفترة	214049	9514	39	8	3.64
السبب	214049	9514	14	5	3.64
الدكتور	214049	9514	84	12	3.60
تم	214049	9514	61	10	3.57
الاسلامي	214049	9514	22	6	3.56
الذي	214049	9514	351	30	3.53
كما	214049	9514	225	22	3.52
نظر	214049	9514	31	7	3.52
الهدف	214049	9514	51	9	3.52
يعني	214049	9514	41	8	3.49
تطور	214049	9514	15	5	3.48
مرحلة	214049	9514	15	5	3.48
حت	214049	9514	4	3	3.47
